Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Arnab,www,search,/search?q=one%20,/search?q=one%20p,2024-05-14 18:23:46
Arnab,www,playback,/search?q=one%20p,/watch/81700392?trackId=255824129&tctx=1%2C6%2C7fa84b0b-8bd0-440d-a7cb-4b0de77742bb-808156702%2C7fa84b0b-8bd0-440d-a7cb-4b0de77742bb-808156702%7C2%2Cunknown%2C%2C%2CtitlesResults%2C81700392%2CVideo%3A81700392%2CminiDpPlayButton,2024-05-14 18:23:46
Arnab,www,search,/search?q=one,/search?q=one%20,2024-05-14 18:23:01
Arnab,www,search,/search?q=one%20,/search?q=one%20p,2024-05-14 18:23:01
Arnab,www,search,/search?q=o,/search?q=on,2024-05-14 18:23:00
Arnab,www,search,/search?q=on,/search?q=one,2024-05-14 18:23:00
Arnab,www,search,/search?q=on,/search?q=one,2024-05-14 18:23:00
Arnab,www,search,/search?q=one,/search?q=one%20,2024-05-14 18:23:00
Arnab,www,browseTitles,/watch/70286865?trackId=14170286,/browse,2024-05-14 18:22:59
Arnab,www,search,/browse,/search?q=o,2024-05-14 18:22:59
Arnab,www,search,/browse,/search?q=o,2024-05-14 18:22:59
Arnab,www,search,/search?q=o,/search?q=on,2024-05-14 18:22:59
Arnab,www,browseTitles,/watch/70286865?trackId=14170286,/browse,2024-05-14 18:22:52
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=2%2C0%2C7fa84b0b-8bd0-440d-a7cb-4b0de77742bb-808066626%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-E7F51EBB05_p_1715710881863%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715710881863%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286865?trackId=14170286,2024-05-14 18:22:51
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=2%2C0%2C7fa84b0b-8bd0-440d-a7cb-4b0de77742bb-808066626%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-E7F51EBB05_p_1715710881863%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715710881863%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-14 18:22:21
Arnab,www,playback,/watch/70136120?trackId=14170286&tctx=2%2C0%2C7fa84b0b-8bd0-440d-a7cb-4b0de77742bb-808066626%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-E7F51EBB05_p_1715710881863%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715710881863%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,/watch/70286865?trackId=14170286,2024-05-14 18:22:21
Arnab,www,browseTitles,/watch/80998781?trackId=14170286&tctx=1%2C1%2Cec344b43-57c5-4f62-93cb-aa0e14d259ea-381159965%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-D76184FB7E_p_1715708680353%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715708677972%2C%2C%2C%2C80998781%2CVideo%3A80998781%2CminiDpPlayButton,/browse,2024-05-14 18:22:21
Arnab,www,playback,/browse,/watch/70136120?trackId=14170286&tctx=2%2C0%2C7fa84b0b-8bd0-440d-a7cb-4b0de77742bb-808066626%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB-B9F225DDE3A711-E7F51EBB05_p_1715710881863%2CNES_7B505FD10BA2A9A9DD6DCD8ECEDFEB_p_1715710881863%2C%2C%2C%2C70136120%2CVideo%3A70136120%2CminiDpPlayButton,2024-05-14 18:22:21
