Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Arnab,The Office (U.S.): Season 1 - CLM 1,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-15 10:56:59,IN,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":2},{""eventType"":""playing"",""sessionOffsetMs"":633,""mediaOffsetMs"":2},{""eventType"":""stopped"",""sessionOffsetMs"":1709,""mediaOffsetMs"":708}]"
Arnab,Brooklyn Nine-Nine: Season 1 - CLM 2,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-15 10:56:57,IN,"[{""eventType"":""start"",""sessionOffsetMs"":13,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":437,""mediaOffsetMs"":null}]"
Arnab,Comedy Clip 4: Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-15 10:56:38,IN,"[{""eventType"":""start"",""sessionOffsetMs"":23,""mediaOffsetMs"":10},{""eventType"":""playing"",""sessionOffsetMs"":412,""mediaOffsetMs"":10},{""eventType"":""paused"",""sessionOffsetMs"":1660,""mediaOffsetMs"":1016},{""eventType"":""stopped"",""sessionOffsetMs"":22262,""mediaOffsetMs"":1219}]"
Arnab,"The Office (U.S.): Season 9: ""Livin' the Dream""",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-15 09:52:24,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":26000},{""eventType"":""playing"",""sessionOffsetMs"":2363,""mediaOffsetMs"":26000},{""eventType"":""paused"",""sessionOffsetMs"":3138,""mediaOffsetMs"":26468},{""eventType"":""playing"",""sessionOffsetMs"":146348,""mediaOffsetMs"":26570},{""eventType"":""paused"",""sessionOffsetMs"":677303,""mediaOffsetMs"":556969},{""eventType"":""playing"",""sessionOffsetMs"":683465,""mediaOffsetMs"":557104},{""eventType"":""paused"",""sessionOffsetMs"":781693,""mediaOffsetMs"":655103},{""eventType"":""playing"",""sessionOffsetMs"":841515,""mediaOffsetMs"":655317},{""eventType"":""paused"",""sessionOffsetMs"":850385,""mediaOffsetMs"":663393},{""eventType"":""playing"",""sessionOffsetMs"":978176,""mediaOffsetMs"":663502},{""eventType"":""paused"",""sessionOffsetMs"":980394,""mediaOffsetMs"":665152},{""eventType"":""playing"",""sessionOffsetMs"":1735384,""mediaOffsetMs"":665258},{""eventType"":""stopped"",""sessionOffsetMs"":2312338,""mediaOffsetMs"":1242212}]"
Arnab,The Office (U.S.): Season 1 - CLM 1,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-15 09:52:20,IN,"[{""eventType"":""start"",""sessionOffsetMs"":2,""mediaOffsetMs"":5},{""eventType"":""playing"",""sessionOffsetMs"":728,""mediaOffsetMs"":5},{""eventType"":""stopped"",""sessionOffsetMs"":1851,""mediaOffsetMs"":917}]"
Arnab,"Season 1 Moment of High Emotion Clip 2: Ashley Madison: Sex, Lies & Scandal",Netflix Chrome Linux (Cadmium) HTML 5,2024-05-15 09:52:08,IN,"[{""eventType"":""start"",""sessionOffsetMs"":46,""mediaOffsetMs"":14},{""eventType"":""playing"",""sessionOffsetMs"":657,""mediaOffsetMs"":14},{""eventType"":""paused"",""sessionOffsetMs"":2555,""mediaOffsetMs"":1842},{""eventType"":""stopped"",""sessionOffsetMs"":14342,""mediaOffsetMs"":1871}]"
Arnab,One Piece Film: Red,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 18:23:48,IN,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1741,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2098741,""mediaOffsetMs"":2097000}]"
Arnab,One Piece Film Red_hook_01_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 18:23:44,IN,"[{""eventType"":""start"",""sessionOffsetMs"":8,""mediaOffsetMs"":8},{""eventType"":""playing"",""sessionOffsetMs"":747,""mediaOffsetMs"":8},{""eventType"":""stopped"",""sessionOffsetMs"":2357,""mediaOffsetMs"":1280}]"
Arnab,Hunter X Hunter (2011): Season 1_hook_02_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 18:23:32,IN,"[{""eventType"":""start"",""sessionOffsetMs"":17,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":413,""mediaOffsetMs"":null}]"
Arnab,One Punch Man: Season 1_hook_primary_16x9,Netflix Chrome Linux (Cadmium) HTML 5,2024-05-14 18:23:29,IN,"[{""eventType"":""start"",""sessionOffsetMs"":14,""mediaOffsetMs"":null},{""eventType"":""stopped"",""sessionOffsetMs"":431,""mediaOffsetMs"":null}]"
