Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Amit,NFCDCH-LX-L0Q7HY4C7E8EJTE1KLQFPVPCKDFE1F,Netflix Chrome Linux (Cadmium) HTML 5,2024-04-02T05:58:07.272,2024-05-15T12:14:00.713,2024-04-02T05:58:46.215,2024-05-15T12:14:00.713,2024-04-02T05:58:07.272,2024-05-15T12:14:00.713,2024-04-02T05:58:46.215,2024-05-15T12:14:00.713,1970-01-01T00:00:00.000
Amit,NFCDCH-02-K7C55M72G3LN4HVQ5F6Q42J99D6308,Chrome PC (Cadmium),2023-06-04T15:42:07.996,2024-05-07T07:44:31.148,2023-06-04T15:42:21.108,2024-05-06T16:26:02.387,2023-06-04T15:42:07.996,2024-05-07T07:44:31.148,2023-06-04T15:42:21.108,2024-05-06T16:26:02.387,1970-01-01T00:00:00.000
Amit,NFCDCH-02-GAV026WP48P2CGXV4A8KKUCURXCFD5,Chrome PC (Cadmium),2022-05-16T13:34:25.596,2024-05-10T16:19:53.622,2022-05-16T13:34:25.596,2024-04-27T18:15:55.111,2022-05-16T13:34:25.596,2024-05-10T16:19:53.622,2022-05-16T13:34:25.596,2024-04-27T18:15:55.111,1970-01-01T00:00:00.000
Amit,NFANDROID1-PRV-P-SAMSUSM-G781B-19970-888994401474689E320ED85369E1AC3A06EF9F45B9A5A342A87EA65DCE57DDBE,DefaultWidevineAndroidPhone,2022-10-07T14:20:56.384,2024-05-08T19:15:52.136,2022-10-07T14:20:56.384,2024-05-08T19:15:52.136,2022-10-07T14:20:56.384,2024-05-08T19:15:52.136,2022-10-07T14:20:56.384,2024-05-08T19:15:52.136,2024-03-13T18:49:14.433
Amit,NFANDROID1-PRV-P-L3-SAMSUSM-A125F-22589-BE6805174ECC178FB610D16D0D2ED8B854740A5D3C3591A312A8479A43936D5B,Android DefaultWidevineL3Phone Android Phone,2022-10-05T11:49:49.688,2024-05-08T18:34:26.481,2022-10-05T11:49:49.688,2024-05-08T18:34:26.481,2022-10-05T11:49:49.688,2024-05-08T18:34:26.481,2022-10-05T11:49:49.688,2024-05-08T18:34:26.481,1970-01-01T00:00:00.000
Amit,NFANDROID1-PRV-P-L3-XIAOMM2103K19I-22594-2DF0688419BB428125BCF1585184A3C57263244A242FB87838486C80B3C02581,Android DefaultWidevineL3Phone Android Phone,2023-04-10T18:11:09.099,2024-04-17T18:28:03.777,2023-04-10T18:11:09.099,2024-04-17T18:28:03.777,2023-04-10T18:11:09.099,2024-04-17T18:28:03.777,2023-04-10T18:11:09.099,2024-04-17T18:28:03.777,1970-01-01T00:00:00.000
Amit,NFCDCH-02-L104A1T7ATM5C9YY05JDUL8N5WUD3R,Chrome PC (Cadmium),2024-04-05T14:57:25.843,2024-04-05T17:57:16.308,2024-04-05T14:57:48.008,2024-04-05T17:57:16.308,2024-04-05T14:57:25.843,2024-04-05T17:57:16.308,2024-04-05T14:57:48.008,2024-04-05T17:57:16.308,1970-01-01T00:00:00.000
Amit,NFCDCH-LX-KKN4X996H4NL12KUQVQHKK3LGLXUC5,Netflix Chrome Linux (Cadmium) HTML 5,2023-10-14T13:12:29.408,2024-03-30T18:21:16.471,2023-10-14T13:12:29.408,2024-03-30T18:21:16.471,2023-10-14T13:12:29.408,2024-03-30T18:21:16.471,2023-10-14T13:12:29.408,2024-03-30T18:21:16.471,1970-01-01T00:00:00.000
Amit,NFCDCH-02-KRF0WPHRYRNQT1JEXKLD30UME692U7,Chrome PC (Cadmium),2023-12-23T15:59:54.816,2024-03-21T15:29:30.203,2023-12-23T15:59:54.816,2024-03-21T15:29:30.203,2023-12-23T15:59:54.816,2024-03-21T15:29:30.203,2023-12-23T15:59:54.816,2024-03-21T15:29:30.203,1970-01-01T00:00:00.000
Amit,NFANDROID2-PRV-TCL2018UHDANDROIDTV-TCL==BEYONDTV-11768-1140505F86EFDF349906FF7B5E82FD5592A7B1F4450524CB5CF04E26D664AB78,TCL TV 2018 UHD Android TV Smart TV,2021-08-04T12:56:15.868,2024-03-15T16:03:51.479,2022-08-14T11:03:27.407,2024-03-15T16:03:51.479,2021-08-04T12:56:15.868,2024-03-15T16:03:51.479,2022-08-14T11:03:27.407,2024-03-15T16:03:51.479,1970-01-01T00:00:00.000
